CRIM,ZN,INDUS,LSTAT,NOX,RM,DIS,RAD,TAX
0.00632,18,2.31,4.98,0.538,6.575,4.09,1,296
0.02731,0,7.07,9.14,0.469,6.421,4.9671,2,242
0.02729,0,7.07,4.03,0.469,7.185,4.9671,2,242
0.03237,0,2.18,2.94,0.458,6.998,6.0622,3,222
0.06905,0,2.18,5.33,0.458,7.147,6.0622,3,222
0.02985,0,2.18,5.21,0.458,6.43,6.0622,3,222
0.08829,12.5,7.87,12.43,0.524,6.012,5.5605,5,311
0.14455,12.5,7.87,19.15,0.524,6.172,5.9505,5,311
0.21124,12.5,7.87,29.93,0.524,5.631,6.0821,5,311
0.17004,12.5,7.87,17.1,0.524,6.004,6.5921,5,311
0.22489,12.5,7.87,20.45,0.524,6.377,6.3467,5,311
0.11747,12.5,7.87,13.27,0.524,6.009,6.2267,5,311
0.09378,12.5,7.87,15.71,0.524,5.889,5.4509,5,311
0.62976,0,8.14,8.26,0.538,5.949,4.7075,4,307
0.63796,0,8.14,10.26,0.538,6.096,4.4619,4,307
0.62739,0,8.14,8.47,0.538,5.834,4.4986,4,307
1.05393,0,8.14,6.58,0.538,5.935,4.4986,4,307
0.7842,0,8.14,14.67,0.538,5.99,4.2579,4,307
0.80271,0,8.14,11.69,0.538,5.456,3.7965,4,307
0.7258,0,8.14,11.28,0.538,5.727,3.7965,4,307
1.25179,0,8.14,21.02,0.538,5.57,3.7979,4,307
0.85204,0,8.14,13.83,0.538,5.965,4.0123,4,307
1.23247,0,8.14,18.72,0.538,6.142,3.9769,4,307
0.98843,0,8.14,19.88,0.538,5.813,4.0952,4,307
0.75026,0,8.14,16.3,0.538,5.924,4.3996,4,307
0.84054,0,8.14,16.51,0.538,5.599,4.4546,4,307
0.67191,0,8.14,14.81,0.538,5.813,4.682,4,307
0.95577,0,8.14,17.28,0.538,6.047,4.4534,4,307
0.77299,0,8.14,12.8,0.538,6.495,4.4547,4,307
1.00245,0,8.14,11.98,0.538,6.674,4.239,4,307
1.13081,0,8.14,22.6,0.538,5.713,4.233,4,307
1.35472,0,8.14,13.04,0.538,6.072,4.175,4,307
1.38799,0,8.14,27.71,0.538,5.95,3.99,4,307
1.15172,0,8.14,18.35,0.538,5.701,3.7872,4,307
1.61282,0,8.14,20.34,0.538,6.096,3.7598,4,307
0.06417,0,5.96,9.68,0.499,5.933,3.3603,5,279
0.09744,0,5.96,11.41,0.499,5.841,3.3779,5,279
0.08014,0,5.96,8.77,0.499,5.85,3.9342,5,279
0.17505,0,5.96,10.13,0.499,5.966,3.8473,5,279
0.02763,75,2.95,4.32,0.428,6.595,5.4011,3,252
0.03359,75,2.95,1.98,0.428,7.024,5.4011,3,252
0.12744,0,6.91,4.84,0.448,6.77,5.7209,3,233
0.1415,0,6.91,5.81,0.448,6.169,5.7209,3,233
0.15936,0,6.91,7.44,0.448,6.211,5.7209,3,233
0.12269,0,6.91,9.55,0.448,6.069,5.7209,3,233
0.17142,0,6.91,10.21,0.448,5.682,5.1004,3,233
0.18836,0,6.91,14.15,0.448,5.786,5.1004,3,233
0.22927,0,6.91,18.8,0.448,6.03,5.6894,3,233
0.25387,0,6.91,30.81,0.448,5.399,5.87,3,233
0.21977,0,6.91,16.2,0.448,5.602,6.0877,3,233
0.08873,21,5.64,13.45,0.439,5.963,6.8147,4,243
0.04337,21,5.64,9.43,0.439,6.115,6.8147,4,243
0.0536,21,5.64,5.28,0.439,6.511,6.8147,4,243
0.04981,21,5.64,8.43,0.439,5.998,6.8147,4,243
0.0136,75,4,14.8,0.41,5.888,7.3197,3,469
0.01311,90,1.22,4.81,0.403,7.249,8.6966,5,226
0.02055,85,0.74,5.77,0.41,6.383,9.1876,2,313
0.01432,100,1.32,3.95,0.411,6.816,8.3248,5,256
0.15445,25,5.13,6.86,0.453,6.145,7.8148,8,284
0.10328,25,5.13,9.22,0.453,5.927,6.932,8,284
0.14932,25,5.13,13.15,0.453,5.741,7.2254,8,284
0.17171,25,5.13,14.44,0.453,5.966,6.8185,8,284
0.11027,25,5.13,6.73,0.453,6.456,7.2255,8,284
0.1265,25,5.13,9.5,0.453,6.762,7.9809,8,284
0.01951,17.5,1.38,8.05,0.4161,7.104,9.2229,3,216
0.03584,80,3.37,4.67,0.398,6.29,6.6115,4,337
0.04379,80,3.37,10.24,0.398,5.787,6.6115,4,337
0.05789,12.5,6.07,8.1,0.409,5.878,6.498,4,345
0.13554,12.5,6.07,13.09,0.409,5.594,6.498,4,345
0.12816,12.5,6.07,8.79,0.409,5.885,6.498,4,345
0.08826,0,10.81,6.72,0.413,6.417,5.2873,4,305
0.15876,0,10.81,9.88,0.413,5.961,5.2873,4,305
0.09164,0,10.81,5.52,0.413,6.065,5.2873,4,305
0.19539,0,10.81,7.54,0.413,6.245,5.2873,4,305
0.07896,0,12.83,6.78,0.437,6.273,4.2515,5,398
0.09512,0,12.83,8.94,0.437,6.286,4.5026,5,398
0.10153,0,12.83,11.97,0.437,6.279,4.0522,5,398
0.08707,0,12.83,10.27,0.437,6.14,4.0905,5,398
0.05646,0,12.83,12.34,0.437,6.232,5.0141,5,398
0.08387,0,12.83,9.1,0.437,5.874,4.5026,5,398
0.04113,25,4.86,5.29,0.426,6.727,5.4007,4,281
0.04462,25,4.86,7.22,0.426,6.619,5.4007,4,281
0.03659,25,4.86,6.72,0.426,6.302,5.4007,4,281
0.03551,25,4.86,7.51,0.426,6.167,5.4007,4,281
0.05059,0,4.49,9.62,0.449,6.389,4.7794,3,247
0.05735,0,4.49,6.53,0.449,6.63,4.4377,3,247
0.05188,0,4.49,12.86,0.449,6.015,4.4272,3,247
0.07151,0,4.49,8.44,0.449,6.121,3.7476,3,247
0.0566,0,3.41,5.5,0.489,7.007,3.4217,2,270
0.05302,0,3.41,5.7,0.489,7.079,3.4145,2,270
0.04684,0,3.41,8.81,0.489,6.417,3.0923,2,270
0.03932,0,3.41,8.2,0.489,6.405,3.0921,2,270
0.04203,28,15.04,8.16,0.464,6.442,3.6659,4,270
0.02875,28,15.04,6.21,0.464,6.211,3.6659,4,270
0.04294,28,15.04,10.59,0.464,6.249,3.615,4,270
0.12204,0,2.89,6.65,0.445,6.625,3.4952,2,276
0.11504,0,2.89,11.34,0.445,6.163,3.4952,2,276
0.12083,0,2.89,4.21,0.445,8.069,3.4952,2,276
0.08187,0,2.89,3.57,0.445,7.82,3.4952,2,276
0.0686,0,2.89,6.19,0.445,7.416,3.4952,2,276
0.14866,0,8.56,9.42,0.52,6.727,2.7778,5,384
0.11432,0,8.56,7.67,0.52,6.781,2.8561,5,384
0.22876,0,8.56,10.63,0.52,6.405,2.7147,5,384
0.21161,0,8.56,13.44,0.52,6.137,2.7147,5,384
0.1396,0,8.56,12.33,0.52,6.167,2.421,5,384
0.13262,0,8.56,16.47,0.52,5.851,2.1069,5,384
0.1712,0,8.56,18.66,0.52,5.836,2.211,5,384
0.13117,0,8.56,14.09,0.52,6.127,2.1224,5,384
0.12802,0,8.56,12.27,0.52,6.474,2.4329,5,384
0.26363,0,8.56,15.55,0.52,6.229,2.5451,5,384
0.10793,0,8.56,13,0.52,6.195,2.7778,5,384
0.10084,0,10.01,10.16,0.547,6.715,2.6775,6,432
0.12329,0,10.01,16.21,0.547,5.913,2.3534,6,432
0.22212,0,10.01,17.09,0.547,6.092,2.548,6,432
0.14231,0,10.01,10.45,0.547,6.254,2.2565,6,432
0.17134,0,10.01,15.76,0.547,5.928,2.4631,6,432
0.13158,0,10.01,12.04,0.547,6.176,2.7301,6,432
0.15098,0,10.01,10.3,0.547,6.021,2.7474,6,432
0.13058,0,10.01,15.37,0.547,5.872,2.4775,6,432
0.14476,0,10.01,13.61,0.547,5.731,2.7592,6,432
0.06899,0,25.65,14.37,0.581,5.87,2.2577,2,188
0.07165,0,25.65,14.27,0.581,6.004,2.1974,2,188
0.09299,0,25.65,17.93,0.581,5.961,2.0869,2,188
0.15038,0,25.65,25.41,0.581,5.856,1.9444,2,188
0.09849,0,25.65,17.58,0.581,5.879,2.0063,2,188
0.16902,0,25.65,14.81,0.581,5.986,1.9929,2,188
0.38735,0,25.65,27.26,0.581,5.613,1.7572,2,188
0.25915,0,21.89,17.19,0.624,5.693,1.7883,4,437
0.32543,0,21.89,15.39,0.624,6.431,1.8125,4,437
0.88125,0,21.89,18.34,0.624,5.637,1.9799,4,437
0.34006,0,21.89,12.6,0.624,6.458,2.1185,4,437
1.19294,0,21.89,12.26,0.624,6.326,2.271,4,437
0.59005,0,21.89,11.12,0.624,6.372,2.3274,4,437
0.32982,0,21.89,15.03,0.624,5.822,2.4699,4,437
0.97617,0,21.89,17.31,0.624,5.757,2.346,4,437
0.55778,0,21.89,16.96,0.624,6.335,2.1107,4,437
0.32264,0,21.89,16.9,0.624,5.942,1.9669,4,437
0.35233,0,21.89,14.59,0.624,6.454,1.8498,4,437
0.2498,0,21.89,21.32,0.624,5.857,1.6686,4,437
0.54452,0,21.89,18.46,0.624,6.151,1.6687,4,437
0.2909,0,21.89,24.16,0.624,6.174,1.6119,4,437
1.62864,0,21.89,34.41,0.624,5.019,1.4394,4,437
3.32105,0,19.58,26.82,0.871,5.403,1.3216,5,403
4.0974,0,19.58,26.42,0.871,5.468,1.4118,5,403
2.77974,0,19.58,29.29,0.871,4.903,1.3459,5,403
2.37934,0,19.58,27.8,0.871,6.13,1.4191,5,403
2.15505,0,19.58,16.65,0.871,5.628,1.5166,5,403
2.36862,0,19.58,29.53,0.871,4.926,1.4608,5,403
2.33099,0,19.58,28.32,0.871,5.186,1.5296,5,403
2.73397,0,19.58,21.45,0.871,5.597,1.5257,5,403
1.6566,0,19.58,14.1,0.871,6.122,1.618,5,403
1.49632,0,19.58,13.28,0.871,5.404,1.5916,5,403
1.12658,0,19.58,12.12,0.871,5.012,1.6102,5,403
2.14918,0,19.58,15.79,0.871,5.709,1.6232,5,403
1.41385,0,19.58,15.12,0.871,6.129,1.7494,5,403
3.53501,0,19.58,15.02,0.871,6.152,1.7455,5,403
2.44668,0,19.58,16.14,0.871,5.272,1.7364,5,403
1.22358,0,19.58,4.59,0.605,6.943,1.8773,5,403
1.34284,0,19.58,6.43,0.605,6.066,1.7573,5,403
1.42502,0,19.58,7.39,0.871,6.51,1.7659,5,403
1.27346,0,19.58,5.5,0.605,6.25,1.7984,5,403
1.46336,0,19.58,1.73,0.605,7.489,1.9709,5,403
1.83377,0,19.58,1.92,0.605,7.802,2.0407,5,403
1.51902,0,19.58,3.32,0.605,8.375,2.162,5,403
2.24236,0,19.58,11.64,0.605,5.854,2.422,5,403
2.924,0,19.58,9.81,0.605,6.101,2.2834,5,403
2.01019,0,19.58,3.7,0.605,7.929,2.0459,5,403
1.80028,0,19.58,12.14,0.605,5.877,2.4259,5,403
2.3004,0,19.58,11.1,0.605,6.319,2.1,5,403
2.44953,0,19.58,11.32,0.605,6.402,2.2625,5,403
1.20742,0,19.58,14.43,0.605,5.875,2.4259,5,403
2.3139,0,19.58,12.03,0.605,5.88,2.3887,5,403
0.13914,0,4.05,14.69,0.51,5.572,2.5961,5,296
0.09178,0,4.05,9.04,0.51,6.416,2.6463,5,296
0.08447,0,4.05,9.64,0.51,5.859,2.7019,5,296
0.06664,0,4.05,5.33,0.51,6.546,3.1323,5,296
0.07022,0,4.05,10.11,0.51,6.02,3.5549,5,296
0.05425,0,4.05,6.29,0.51,6.315,3.3175,5,296
0.06642,0,4.05,6.92,0.51,6.86,2.9153,5,296
0.0578,0,2.46,5.04,0.488,6.98,2.829,3,193
0.06588,0,2.46,7.56,0.488,7.765,2.741,3,193
0.06888,0,2.46,9.45,0.488,6.144,2.5979,3,193
0.09103,0,2.46,4.82,0.488,7.155,2.7006,3,193
0.10008,0,2.46,5.68,0.488,6.563,2.847,3,193
0.08308,0,2.46,13.98,0.488,5.604,2.9879,3,193
0.06047,0,2.46,13.15,0.488,6.153,3.2797,3,193
0.05602,0,2.46,4.45,0.488,7.831,3.1992,3,193
0.07875,45,3.44,6.68,0.437,6.782,3.7886,5,398
0.12579,45,3.44,4.56,0.437,6.556,4.5667,5,398
0.0837,45,3.44,5.39,0.437,7.185,4.5667,5,398
0.09068,45,3.44,5.1,0.437,6.951,6.4798,5,398
0.06911,45,3.44,4.69,0.437,6.739,6.4798,5,398
0.08664,45,3.44,2.87,0.437,7.178,6.4798,5,398
0.02187,60,2.93,5.03,0.401,6.8,6.2196,1,265
0.01439,60,2.93,4.38,0.401,6.604,6.2196,1,265
0.01381,80,0.46,2.97,0.422,7.875,5.6484,4,255
0.04011,80,1.52,4.08,0.404,7.287,7.309,2,329
0.04666,80,1.52,8.61,0.404,7.107,7.309,2,329
0.03768,80,1.52,6.62,0.404,7.274,7.309,2,329
0.0315,95,1.47,4.56,0.403,6.975,7.6534,3,402
0.01778,95,1.47,4.45,0.403,7.135,7.6534,3,402
0.03445,82.5,2.03,7.43,0.415,6.162,6.27,2,348
0.02177,82.5,2.03,3.11,0.415,7.61,6.27,2,348
0.0351,95,2.68,3.81,0.4161,7.853,5.118,4,224
0.02009,95,2.68,2.88,0.4161,8.034,5.118,4,224
0.13642,0,10.59,10.87,0.489,5.891,3.9454,4,277
0.22969,0,10.59,10.97,0.489,6.326,4.3549,4,277
0.25199,0,10.59,18.06,0.489,5.783,4.3549,4,277
0.13587,0,10.59,14.66,0.489,6.064,4.2392,4,277
0.43571,0,10.59,23.09,0.489,5.344,3.875,4,277
0.17446,0,10.59,17.27,0.489,5.96,3.8771,4,277
0.37578,0,10.59,23.98,0.489,5.404,3.665,4,277
0.21719,0,10.59,16.03,0.489,5.807,3.6526,4,277
0.14052,0,10.59,9.38,0.489,6.375,3.9454,4,277
0.28955,0,10.59,29.55,0.489,5.412,3.5875,4,277
0.19802,0,10.59,9.47,0.489,6.182,3.9454,4,277
0.0456,0,13.89,13.51,0.55,5.888,3.1121,5,276
0.07013,0,13.89,9.69,0.55,6.642,3.4211,5,276
0.11069,0,13.89,17.92,0.55,5.951,2.8893,5,276
0.11425,0,13.89,10.5,0.55,6.373,3.3633,5,276
0.35809,0,6.2,9.71,0.507,6.951,2.8617,8,307
0.40771,0,6.2,21.46,0.507,6.164,3.048,8,307
0.62356,0,6.2,9.93,0.507,6.879,3.2721,8,307
0.6147,0,6.2,7.6,0.507,6.618,3.2721,8,307
0.31533,0,6.2,4.14,0.504,8.266,2.8944,8,307
0.52693,0,6.2,4.63,0.504,8.725,2.8944,8,307
0.38214,0,6.2,3.13,0.504,8.04,3.2157,8,307
0.41238,0,6.2,6.36,0.504,7.163,3.2157,8,307
0.29819,0,6.2,3.92,0.504,7.686,3.3751,8,307
0.44178,0,6.2,3.76,0.504,6.552,3.3751,8,307
0.537,0,6.2,11.65,0.504,5.981,3.6715,8,307
0.46296,0,6.2,5.25,0.504,7.412,3.6715,8,307
0.57529,0,6.2,2.47,0.507,8.337,3.8384,8,307
0.33147,0,6.2,3.95,0.507,8.247,3.6519,8,307
0.44791,0,6.2,8.05,0.507,6.726,3.6519,8,307
0.33045,0,6.2,10.88,0.507,6.086,3.6519,8,307
0.52058,0,6.2,9.54,0.507,6.631,4.148,8,307
0.51183,0,6.2,4.73,0.507,7.358,4.148,8,307
0.08244,30,4.93,6.36,0.428,6.481,6.1899,6,300
0.09252,30,4.93,7.37,0.428,6.606,6.1899,6,300
0.11329,30,4.93,11.38,0.428,6.897,6.3361,6,300
0.10612,30,4.93,12.4,0.428,6.095,6.3361,6,300
0.1029,30,4.93,11.22,0.428,6.358,7.0355,6,300
0.12757,30,4.93,5.19,0.428,6.393,7.0355,6,300
0.20608,22,5.86,12.5,0.431,5.593,7.9549,7,330
0.19133,22,5.86,18.46,0.431,5.605,7.9549,7,330
0.33983,22,5.86,9.16,0.431,6.108,8.0555,7,330
0.19657,22,5.86,10.15,0.431,6.226,8.0555,7,330
0.16439,22,5.86,9.52,0.431,6.433,7.8265,7,330
0.19073,22,5.86,6.56,0.431,6.718,7.8265,7,330
0.1403,22,5.86,5.9,0.431,6.487,7.3967,7,330
0.21409,22,5.86,3.59,0.431,6.438,7.3967,7,330
0.08221,22,5.86,3.53,0.431,6.957,8.9067,7,330
